country_name_ltn,gender,fintight,pct_in_gap,pct_not_in_gap,pct_0_barriers,pct_1_barrier,pct_2_barrier,pct_3_barriers,pct_4_barriers,pct_solution_barrier_barrier_1,pct_solution_barrier_barrier_2,pct_solution_barrier_barrier_3,pct_dcf_barrier_barrier_1,pct_dcf_barrier_barrier_2,pct_dcf_barrier_barrier_3,pct_info_barrier_barrier_1,pct_info_barrier_barrier_2,pct_info_barrier_barrier_3,pct_representation_barrier_barrier_1,pct_representation_barrier_barrier_2,pct_representation_barrier_barrier_3
Austria,Female,0,69.06077348066299,30.939226519337016,9.090909090909092,29.292929292929294,44.44444444444444,14.14141414141414,3.0303030303030303,0,15.909090909090908,57.14285714285714,31.03448275862069,56.81818181818182,85.71428571428571,51.724137931034484,86.36363636363636,100,17.24137931034483,40.909090909090914,57.14285714285714
Austria,Female,1,72.84345047923323,27.15654952076677,4.615384615384616,38.46153846153847,35.38461538461539,13.846153846153847,7.6923076923076925,12,4.3478260869565215,66.66666666666666,28.000000000000004,69.56521739130434,100,36,95.65217391304348,100,24,30.434782608695656,33.33333333333333
Austria,Male,0,67.22222222222223,32.77777777777778,23.376623376623375,27.27272727272727,31.16883116883117,15.584415584415584,2.5974025974025974,0,29.166666666666668,58.333333333333336,23.809523809523807,54.166666666666664,83.33333333333334,66.66666666666666,87.5,100,9.523809523809524,29.166666666666668,58.333333333333336
Austria,Male,1,78.60696517412936,21.393034825870647,6.976744186046512,25.581395348837212,34.883720930232556,27.906976744186046,4.651162790697675,9.090909090909092,46.666666666666664,75,18.181818181818183,40,83.33333333333334,36.36363636363637,80,91.66666666666666,36.36363636363637,33.33333333333333,50
Belgium,Female,0,67.53246753246754,32.467532467532465,9.30232558139535,18.6046511627907,44.18604651162791,25.581395348837212,2.3255813953488373,12.5,15.789473684210526,63.63636363636363,12.5,73.68421052631578,72.72727272727273,50,94.73684210526315,100,25,15.789473684210526,63.63636363636363
Belgium,Female,1,67.42857142857143,32.57142857142858,0,31.818181818181817,31.818181818181817,36.36363636363637,0,0,14.285714285714285,50,0,28.57142857142857,87.5,71.42857142857143,100,100,28.57142857142857,57.14285714285714,62.5
Belgium,Male,0,68,32,8.333333333333332,27.083333333333332,47.91666666666667,14.583333333333334,2.083333333333333,0,21.73913043478261,85.71428571428571,15.384615384615385,60.86956521739131,100,61.53846153846154,82.6086956521739,100,23.076923076923077,34.78260869565217,14.285714285714285
Belgium,Male,1,64.66165413533834,35.338345864661655,5,30,40,15,10,0,25,100,33.33333333333333,75,66.66666666666666,33.33333333333333,100,100,33.33333333333333,0,33.33333333333333
Bulgaria,Female,0,61.111111111111114,38.88888888888889,20,30,20,30,0,0,0,66.66666666666666,33.33333333333333,50,66.66666666666666,66.66666666666666,100,100,0,50,66.66666666666666
Bulgaria,Female,1,73.07692307692307,26.923076923076923,5.88235294117647,52.94117647058824,29.411764705882355,5.88235294117647,5.88235294117647,11.11111111111111,0,0,22.22222222222222,60,100,66.66666666666666,100,100,0,40,100
Bulgaria,Male,0,50,50,44.44444444444444,11.11111111111111,33.33333333333333,11.11111111111111,0,0,0,0,0,66.66666666666666,100,100,100,100,0,33.33333333333333,100
Bulgaria,Male,1,62.65060240963856,37.34939759036144,0,16.666666666666664,50,33.33333333333333,0,0,16.666666666666664,50,0,16.666666666666664,100,0,100,100,100,66.66666666666666,50
Croatia,Female,0,70.23255813953489,29.767441860465116,12.5,37.5,33.33333333333333,14.583333333333334,2.083333333333333,5.555555555555555,18.75,71.42857142857143,16.666666666666664,50,85.71428571428571,72.22222222222221,87.5,100,5.555555555555555,43.75,42.857142857142854
Croatia,Female,1,69.39890710382514,30.601092896174865,3.3333333333333335,20,50,20,6.666666666666667,0,13.333333333333334,66.66666666666666,0,46.666666666666664,83.33333333333334,83.33333333333334,93.33333333333333,100,16.666666666666664,46.666666666666664,50
Croatia,Male,0,70.05076142131979,29.949238578680205,9.375,18.75,50,18.75,3.125,0,25,66.66666666666666,16.666666666666664,50,100,66.66666666666666,93.75,83.33333333333334,16.666666666666664,31.25,50
Croatia,Male,1,69.36416184971098,30.63583815028902,0,15.384615384615385,61.53846153846154,23.076923076923077,0,0,18.75,83.33333333333334,0,43.75,100,50,93.75,100,50,43.75,16.666666666666664
Cyprus,Female,0,63.888888888888886,36.11111111111111,0,44.44444444444444,33.33333333333333,11.11111111111111,11.11111111111111,25,33.33333333333333,0,25,33.33333333333333,100,25,66.66666666666666,100,25,66.66666666666666,100
Cyprus,Female,1,76.03305785123968,23.96694214876033,7.142857142857142,32.142857142857146,35.714285714285715,25,0,0,0,14.285714285714285,0,60,100,55.55555555555556,90,100,44.44444444444444,50,85.71428571428571
Cyprus,Male,0,74.68354430379746,25.31645569620253,0,33.33333333333333,33.33333333333333,33.33333333333333,0,0,0,50,25,25,100,50,100,100,25,75,50
Cyprus,Male,1,68.96551724137932,31.03448275862069,25,33.33333333333333,33.33333333333333,8.333333333333332,0,0,0,0,25,25,100,50,100,100,25,75,100
Czechia,Female,0,78.38541666666666,21.614583333333336,5.063291139240507,29.11392405063291,48.10126582278481,15.18987341772152,2.5316455696202533,8.695652173913043,26.31578947368421,75,4.3478260869565215,28.947368421052634,83.33333333333334,78.26086956521739,92.10526315789474,100,8.695652173913043,52.63157894736842,41.66666666666667
Czechia,Female,1,75.1131221719457,24.8868778280543,2.857142857142857,34.285714285714285,34.285714285714285,25.71428571428571,2.857142857142857,8.333333333333332,0,55.55555555555556,16.666666666666664,50,88.88888888888889,66.66666666666666,100,100,8.333333333333332,50,55.55555555555556
