country_name_ltn,gender,pct_in_gap,pct_not_in_gap,pct_0_barriers,pct_1_barrier,pct_2_barrier,pct_3_barriers,pct_4_barriers,pct_solution_barrier_barrier_1,pct_solution_barrier_barrier_2,pct_solution_barrier_barrier_3,pct_dcf_barrier_barrier_1,pct_dcf_barrier_barrier_2,pct_dcf_barrier_barrier_3,pct_info_barrier_barrier_1,pct_info_barrier_barrier_2,pct_info_barrier_barrier_3,pct_representation_barrier_barrier_1,pct_representation_barrier_barrier_2,pct_representation_barrier_barrier_3
Austria,Female,70.81481481481482,29.185185185185187,7.317073170731707,32.926829268292686,40.853658536585364,14.02439024390244,4.878048780487805,5.555555555555555,11.940298507462686,60.86956521739131,29.629629629629626,61.19402985074627,91.30434782608695,44.44444444444444,89.55223880597015,100,20.37037037037037,37.3134328358209,47.82608695652174
Austria,Male,71.301247771836,28.698752228163993,17.5,26.666666666666668,32.5,20,3.3333333333333335,3.125,35.8974358974359,66.66666666666666,21.875,48.717948717948715,83.33333333333334,56.25,84.61538461538461,95.83333333333334,18.75,30.76923076923077,54.166666666666664
Belgium,Female,67.48768472906403,32.51231527093596,6.153846153846154,23.076923076923077,40,29.230769230769234,1.5384615384615385,6.666666666666667,15.384615384615385,57.89473684210527,6.666666666666667,61.53846153846154,78.94736842105263,60,96.15384615384616,100,26.666666666666668,26.923076923076923,63.1578947368421
Belgium,Male,66.75977653631286,33.24022346368715,7.352941176470589,27.941176470588236,45.588235294117645,14.705882352941178,4.411764705882353,0,22.58064516129032,90,21.052631578947366,64.51612903225806,90,52.63157894736842,87.09677419354838,100,26.31578947368421,25.806451612903224,20
Bulgaria,Female,68.9873417721519,31.0126582278481,11.11111111111111,44.44444444444444,25.925925925925924,14.814814814814813,3.7037037037037033,8.333333333333332,0,50,25,57.14285714285714,75,66.66666666666666,100,100,0,42.857142857142854,75
Bulgaria,Male,57.34265734265735,42.65734265734265,19.047619047619047,14.285714285714285,42.857142857142854,23.809523809523807,0,0,11.11111111111111,40,0,33.33333333333333,100,33.33333333333333,100,100,66.66666666666666,55.55555555555556,60
Croatia,Female,69.84924623115577,30.15075376884422,8.974358974358974,30.76923076923077,39.743589743589745,16.666666666666664,3.8461538461538463,4.166666666666666,16.129032258064516,69.23076923076923,12.5,48.38709677419355,84.61538461538461,75,90.32258064516128,100,8.333333333333332,45.16129032258064,46.15384615384615
Croatia,Male,69.72972972972973,30.270270270270274,5.172413793103448,17.24137931034483,55.172413793103445,20.689655172413794,1.7241379310344827,0,21.875,75,10,46.875,100,60,93.75,91.66666666666666,30,37.5,33.33333333333333
Cyprus,Female,71.50259067357513,28.497409326424872,5.405405405405405,35.13513513513514,35.13513513513514,21.62162162162162,2.7027027027027026,7.6923076923076925,7.6923076923076925,12.5,7.6923076923076925,53.84615384615385,100,46.15384615384615,84.61538461538461,100,38.46153846153847,53.84615384615385,87.5
Cyprus,Male,71.6867469879518,28.313253012048197,12.5,33.33333333333333,33.33333333333333,20.833333333333336,0,0,0,40,25,25,100,50,100,100,25,75,60
Czechia,Female,77.1900826446281,22.8099173553719,4.385964912280701,30.701754385964914,43.859649122807014,18.421052631578945,2.631578947368421,8.571428571428571,20,66.66666666666666,8.571428571428571,34,85.71428571428571,74.28571428571429,94,100,8.571428571428571,52,47.61904761904761
Czechia,Male,75,25,2.7027027027027026,29.72972972972973,41.891891891891895,22.972972972972975,2.7027027027027026,18.181818181818183,12.903225806451612,70.58823529411765,9.090909090909092,25.806451612903224,88.23529411764706,63.63636363636363,100,100,9.090909090909092,61.29032258064516,41.17647058823529
Denmark,Female,65.11156186612575,34.88843813387424,4.761904761904762,30.158730158730158,36.507936507936506,23.809523809523807,4.761904761904762,10.526315789473683,21.73913043478261,93.33333333333333,15.789473684210526,43.47826086956522,73.33333333333333,57.89473684210527,86.95652173913044,93.33333333333333,15.789473684210526,47.82608695652174,40
Denmark,Male,64.25233644859813,35.74766355140187,16.071428571428573,32.142857142857146,21.428571428571427,25,5.357142857142857,5.555555555555555,16.666666666666664,64.28571428571429,5.555555555555555,41.66666666666667,100,61.111111111111114,91.66666666666666,100,27.77777777777778,50,35.714285714285715
Estonia,Female,77.17391304347827,22.82608695652174,6.976744186046512,27.906976744186046,53.48837209302325,9.30232558139535,2.3255813953488373,0,17.391304347826086,50,0,43.47826086956522,100,100,95.65217391304348,75,0,43.47826086956522,75
Estonia,Male,73.39449541284404,26.605504587155966,12.903225806451612,22.58064516129032,35.483870967741936,29.03225806451613,0,0,27.27272727272727,100,0,45.45454545454545,66.66666666666666,71.42857142857143,90.9090909090909,100,28.57142857142857,36.36363636363637,33.33333333333333
Finland,Female,73.73737373737373,26.262626262626267,9.174311926605505,25.688073394495415,36.69724770642202,23.853211009174313,4.587155963302752,0,15,73.07692307692307,21.428571428571427,52.5,96.15384615384616,67.85714285714286,92.5,96.15384615384616,10.714285714285714,40,34.61538461538461
Finland,Male,77.61806981519507,22.381930184804926,10.344827586206897,27.586206896551722,40.229885057471265,18.39080459770115,3.4482758620689653,4.166666666666666,28.57142857142857,56.25,12.5,51.42857142857142,100,66.66666666666666,85.71428571428571,100,16.666666666666664,34.285714285714285,43.75
France,Female,67.72265391512254,32.277346084877465,7.264957264957266,33.76068376068376,41.02564102564102,16.666666666666664,1.282051282051282,2.5316455696202533,18.75,66.66666666666666,11.39240506329114,41.66666666666667,87.17948717948718,67.08860759493672,90.625,100,18.9873417721519,48.95833333333333,46.15384615384615
